zillaID,constituencyID,name,img,party,affidavit,election_fund,tax_return
4,126,মোঃ মাহমুদুল ইসলাম সাগর,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/5be6b122d25e484b8cac566f0541fae0_0_2.jpg?filePath=0/candidates/,গণঅধিকার পরিষদ (জিওপি),মোঃ মাহমুদুল ইসলাম সাগর_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/493846937bf54051a3880146df46bdfe_0_2.pdf?filePath=0/candidates/&format=2,মোঃ মাহমুদুল ইসলাম সাগর_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/fb25b31b2eb243a98676ed6c5819ad11_0_2.pdf?filePath=0/candidates/&format=2,মোঃ মাহমুদুল ইসলাম সাগর_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/de461c08d87d4ae18c640dece05e7f23_0_2.pdf?filePath=0/candidates/&format=2
4,126,মুহাম্মদ সিরাজুল ইসলাম সিরাজী,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/5c36cdef60514816a926121a200b3818_0_2.jpg?filePath=0/candidates/,ইসলামী আন্দোলন বাংলাদেশ,মুহাম্মদ সিরাজুল ইসলাম সিরাজী_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/0c0c3ceaf1f749f1960e7cfb12a638fd_0_2.pdf?filePath=0/candidates/&format=2,মুহাম্মদ সিরাজুল ইসলাম সিরাজী_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/7ac6376f17e74cacb2552d673190b6a2_0_2.pdf?filePath=0/candidates/&format=2,মুহাম্মদ সিরাজুল ইসলাম সিরাজী_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/a2d37832d95f46d8b1b9967e71c3b2ec_0_2.pdf?filePath=0/candidates/&format=2
4,126,"এম, এ, কুদ্দুস খান",https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/72c144a943b54c5dafff17d8c21f4c0b_0_2.jpg?filePath=0/candidates/,জাতীয় পার্টি,"এম, এ, কুদ্দুস খান_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/023577426c0142ab8b4a52d7ded42421_0_2.pdf?filePath=0/candidates/&format=2","এম, এ, কুদ্দুস খান_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/1c7548e9b7c44b389c01a2373f4a53c7_0_2.pdf?filePath=0/candidates/&format=2","এম, এ, কুদ্দুস খান_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/038c08c0a1f74fcebee66a3a621c4891_0_2.pdf?filePath=0/candidates/&format=2"
4,126,এস এম নেয়ামুল করিম,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/6828333a26014669b3f315e2f62068f6_0_2.jpg?filePath=0/candidates/,বাংলাদেশ জামায়াতে ইসলামী,এস এম নেয়ামুল করিম_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/97a01179e77e4fc48b501796354146a3_0_2.pdf?filePath=0/candidates/&format=2,এস এম নেয়ামুল করিম_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/db9253e6cd2543e9b1f304a5f1e0dd8d_0_2.pdf?filePath=0/candidates/&format=2,এস এম নেয়ামুল করিম_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/63d4e2e8f6be478fba7a103a18b63b51_0_2.pdf?filePath=0/candidates/&format=2
4,126,মোঃ নূরুদ্দীন সরদার,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/034d91628da84fb3adff151362d53553_0_2.jpg?filePath=0/candidates/,স্বতন্ত্র,মোঃ নূরুদ্দীন সরদার_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/47c62e8eaf6040df984d3b4e4ff45245_0_2.pdf?filePath=0/candidates/&format=2,মোঃ নূরুদ্দীন সরদার_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/af393cdfe946457ead13a796bcdd1375_0_2.pdf?filePath=0/candidates/&format=2,মোঃ নূরুদ্দীন সরদার_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/cea85730b153499a98c42fe50bcf7758_0_2.pdf?filePath=0/candidates/&format=2
4,126,ফোরকান হোসেন,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/40068c1c86a84d3d853c2f4082a8a2ba_0_2.jpg?filePath=0/candidates/,ন্যাশনাল পিপলস পার্টি (এনপিপি),ফোরকান হোসেন_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/db3702d94677463cba26d5a7cdbe41bd_0_2.pdf?filePath=0/candidates/&format=2,ফোরকান হোসেন_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/7ea75baf1c5d4d45a010962d61e69b4c_0_2.pdf?filePath=0/candidates/&format=2,ফোরকান হোসেন_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/045bee1466274fffb783e9d3883b262c_0_2.pdf?filePath=0/candidates/&format=2
4,126,মাসুদ পারভেজ,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/c9054ede97794901b2628a1247c464d0_0_2.jpg?filePath=0/candidates/,জাতীয় সমাজতান্ত্রিক দল-জেএসডি,মাসুদ পারভেজ_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/b91e3500ff8b4744ab3c0bba5a88adef_0_2.pdf?filePath=0/candidates/&format=2,মাসুদ পারভেজ_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/8f3bb883947b4b1c842229e2bf69e230_0_2.pdf?filePath=0/candidates/&format=2,মাসুদ পারভেজ_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/e8dc716f25aa4fa6a0e099eec5fcb8e7_0_2.pdf?filePath=0/candidates/&format=2
6,127,মাসুদ সাঈদী,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/5e7c58cd86f347888a953ed0624624d3_0_2.jpg?filePath=0/candidates/,বাংলাদেশ জামায়াতে ইসলামী,মাসুদ সাঈদী_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/3eb0d8dbc73b440fb7ca66bce84509ac_0_2.pdf?filePath=0/candidates/&format=2,ফাইল পাওয়া যায় নি,মাসুদ সাঈদী_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/4efe2fc58ee241f08a21f7ab6ce28720_0_2.pdf?filePath=0/candidates/&format=2
6,127,আলমগীর হোসেন,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/ffeea5e56c0546b9b3302c67ecdcca3b_0_2.jpg?filePath=0/candidates/,বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,আলমগীর হোসেন_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/bb29b5bd23714e4d9b643ebe1acbfc2c_0_2.pdf?filePath=0/candidates/&format=2,ফাইল পাওয়া যায় নি,আলমগীর হোসেন_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/d718cc59d472424c92e1ea0fb25c47a2_0_2.pdf?filePath=0/candidates/&format=2
6,128,আহম্মদ সোহেল মনজুর,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/e08774dd0a254bc38b147b8158fe74b8_0_2.jpg?filePath=0/candidates/,বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,আহম্মদ সোহেল মনজুর_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/46e0bfacdfc845fd9feda21eb5c58f7f_0_2.pdf?filePath=0/candidates/&format=2,ফাইল পাওয়া যায় নি,আহম্মদ সোহেল মনজুর_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/13c1cf8499fc4179b860700951a27b85_0_2.pdf?filePath=0/candidates/&format=2
